office_name,dynasty_index
同管勾成都府利州陝西等路茶事兼提舉陝西等路買馬監牧公事,15
同提舉成都府利州陝西等路茶場公事兼提舉陝西買馬監牧公事,15
都大提舉成都府利州等路茶事兼提舉四川等路買馬監牧公事,15
怯憐口諸色民匠達魯花赤并管領上都納綿提舉司達魯花赤,18
管領本投下大都等路打捕鷹房諸色人匠都總管府提控案牘,18
管領隨路打捕鷹房諸色民匠怯憐口總管府提控案牘兼照磨,18
怯憐口諸色民匠達魯花赤并管領上都納綿提舉司提控案牘,18
管領本投下大都等路打捕鷹房諸色人匠都總管府達魯花赤,18
總領四川財賦軍馬錢糧所幹辦行在分差戶部利州糧料院,15
管領本投下大都等路打捕鷹房諸色人匠都總管府副總管,18
都大提舉成都府利州陝西等路兼提舉陝西等路買馬公事,15
總領四川財賦軍馬錢糧所幹辦行在分差戶部魚關糧料院,15
怯憐口諸色民匠達魯花赤并管領上都納綿提舉司副長官,18
累朝御製文集聖學心法及四書五經性理大全總視經理官,19
管領本位下打捕鷹房民匠等戶都總管府提控案牘兼照磨,18
管領本投下大都等路打捕鷹房諸色人匠都總管府譯史,18
管領本投下大都等路打捕鷹房諸色人匠都總管府總管,18
管領本投下大都等路打捕鷹房諸色人匠都總管府知事,18
管領本投下大都等路打捕鷹房諸色人匠都總管府奏差,18
管理圓明園八旗包衣三旗官兵進班併該處鳥槍營事務,20
工部右侍郎工部錢法侍郎工部右侍郎兼管錢法堂事務,20
管領本投下大都等路打捕鷹房諸色人匠都總管府同知,18
管領本投下大都等路打捕鷹房諸色人匠都總管府令史,18
隨路諸色民匠打捕鷹房等戶都總管府提控案牘兼照磨,18
怯憐口諸色民匠達魯花赤并管領上都納綿提舉司長官,18
怯憐口諸色民匠達魯花赤并管領上都納綿提舉司同知,18
管領本投下大都等路打捕鷹房諸色人匠都總管府典吏,18
管領隨路打捕鷹房諸色民匠怯憐口總管府達魯花赤,18
管領本位下打捕鷹房民匠等戶都總管府副達魯花赤,18
管領隨路諸色民匠打捕鷹房等戶總管府達魯花赤,18
管領本位下打捕鷹房民匠等戶都總管府達魯花赤,18
會同辦理關內外鐵路事宜襄辦京畿善後營務事宜,20
管領隨路打捕鷹房諸色民匠怯憐口總管府副總管,18
管領隨路打捕鷹房諸色民匠怯憐口總管府知事,18
管領隨路打捕鷹房諸色民匠怯憐口總管府總管,18
右翊蒙古侍衛亲军都指挥使司承發架閣兼照磨,18
隨路諸色民匠打捕鷹房等戶都總管府達魯花赤,18
左翊蒙古侍衛亲军都指揮使司承發架閣兼照磨,18
總領湖廣江西京西路財賦湖北京西軍馬錢糧所,15
加持節招討西京兼防御蒲潼兩關兵馬節度等使,6
管領隨路打捕鷹房諸色民匠怯憐口總管府同知,18
會辦雲南通省團練創設團營並創辦鹽捐各事宜,20
考試宗室八旗文會試並翻譯會試監馬步射大臣,20
隨路諸色民匠打捕鷹房等戶都總管府知印通事,18
管領隨路諸色民匠打捕鷹房等戶總管府副總管,18
管領隨路打捕鷹房諸色民匠怯憐口總管府司吏,18
管領諸路怯憐口民匠都總管府提控案牘兼照磨,18
管領本位下打捕鷹房民匠等戶都總管府副總管,18
管領隨路打捕鷹房諸色民匠怯憐口總管府經歷,18
管領隨路諸色民匠打捕鷹房等戶總管府知事,18
管領隨路諸色民匠打捕鷹房等戶總管府司吏,18
秦鳳路馬步軍都部署兼經略安撫沿邊招討使,15
管領本位下打捕鷹房民匠等戶都總管府經歷,18
管領隨路諸色民匠打捕鷹房等戶總管府同知,18
淮南江浙荊湖制置茶鹽礬稅兼都大發運都监,15
管領本位下打捕鷹房民匠等戶都總管府令史,18
管領本位下打捕鷹房民匠等戶都總管府知事,18
管領打捕鷹房民匠達魯花赤總管府達魯花赤,18
管領本位下打捕鷹房民匠等戶都總管府知印,18
管領本位下打捕鷹房民匠等戶都總管府總管,18
宗仁蒙古侍衛親軍都指揮使司蒙古字学教授,18
管領本位下打捕鷹房民匠等戶都總管府譯史,18
管理圓明圓八旗內務府包衣三旗官兵處大臣,20
管領本位下打捕鷹房民匠等戶都總管府同知,18
淮南江浙荊湖制置發運使兼經制兩浙江東路,15
重書累朝及恭睿献皇帝寶訓實錄總視經理官,19
管領本位下打捕鷹房民匠等戶都總管府通事,18
會辦蒙古礦務會同督辦蒙古礦務金廠監辦官,20
鷹房諸色人匠怯憐口萬戶府提控案牘兼照磨,18
涇原路馬步軍都部署兼經略安撫沿邊招討使,15
鄜延路馬步軍都部署兼經略安撫沿邊招討使,15
環慶路馬步軍都部署兼經略安撫沿邊招討使,15
管領本位下打捕鷹房民匠等戶都總管府判官,18
總覈稽察旗綠各營馬步練軍文案糧餉營務處,20
管領隨路諸色民匠打捕鷹房等戶總管府總管,18
怯憐口諸色民匠打捕鷹房都總管府達魯花赤,18
隨路諸色民匠打捕鷹房等戶都總管府同知,18
隨路諸色民匠打捕鷹房等戶都總管府經歷,18
工部營繕司員外郎兼屯田司司務廳料估所,20
君主特派欽差駐箚中華便宜行事全權大臣,20
管領隨路諸色民匠達魯花赤等官達魯花赤,18
蒙古漢軍西番軍民元帥府蒙古奧魯相副官,18
制置淮南江浙荊湖茶鹽礬稅兼都大發運事,15
管理兩翼前鋒營八旗護軍營練兵事務大臣,20
淮南江浙荊湖制置茶鹽礬稅兼都大發運使,15
隨路諸色民匠打捕鷹房等戶都總管府令史,18
管理三陵包衣佐領下官員執事太監等事務,20
同知衛指揮使司事同知南昌衛指揮使司事,18
管理圓明園八旗包衣三旗並鳥槍事務大臣,20
左翊蒙古侍衛亲军都指揮使司副都指揮使,18
管領打捕鷹房民匠達魯花赤總管府副總管,18
考試貼寫筆帖式翻譯官滿洲助教閱卷大臣,20
隨路諸色民匠打捕鷹房等戶都總管府知事,18
